"Latitude (S = -)","Longitude (W = -)","Depth (meters)","Holocene d13C","LGM d13C","Time series =1; Time slice = 2; PE = phytodetritus effect"
54.29,-149.43,3360,-999.9900,0.1500,2
0.00,160.98,3368,0.3500,-0.1700,2
-1.73,160.80,3393,0.3100,-0.1200,2
51.06,168.03,3416,0.0200,-0.1500,2
1.20,-83.74,3461,-999.9900,-0.3550,2
-34.96,130.01,3504,0.3500,0.0700,2
0.87,160.98,3509,0.3800,-0.0200,2
51.06,168.07,3516,0.3300,-999.9900,2
54.36,-148.47,3544,-999.9900,0.2000,2
-25.22,-75.52,3558,0.1700,-0.21,1
4.85,156.05,3585,0.2200,-0.1400,2
0.37,-106.18,3606,0.2550,-0.2600,2
36.47,177.17,3623,0.1800,-0.2200,2
51.06,168.07,3631,0.2200,-999.9900,2
50.94,168.11,3670,0.3200,-999.9900,2
51.05,168.10,3700,0.3400,-0.1700,2
0.00,161.42,3732,0.2900,-0.1000,2
-29.10,-85.60,3780,0.3100,-0.0600,2
51.06,168.14,3816,0.1500,-0.2300,2
0.18,-110.52,3839,0.1450,-0.2600,2
1.10,161.60,3848,0.3300,0.0300,2
35.32,177.92,3870,0.0500,-0.3500,2
37.68,163.03,3968,-999.9900,-0.4000,2
-60.00,-170.00,4005,0.4300,-999.9900,2
34.58,159.17,4014,-999.9900,-0.2200,2
1.35,162.38,4118,0.4000,0.0600,2
0.00,161.97,4169,0.3600,-0.0150,2
-0.92,-134.31,4305,0.0900,-0.1700,2
-59.00,-170.00,4324,0.2700,-999.9900,2
-0.02,162.70,4441,0.4100,-0.0300,2
-45.83,-116.88,3161,0.34,-0.05
-37.26,176.64,663,1.37,1.22,2
-36.96,176.59,1165,0.92,0.43,2
-36.74,176.64,1627,0.44,-0.06,2
-36.93,177.44,2045,0.37,-0.15,2
-36.2,176.89,2541,0.49,-0.4,2
-39.88,177.67,3836,0.36,-0.1,2
-45.15,146.28,3300,0.34,-0.23,2
-33.53,166.53,2858,0.35,-0.24,2
3.55,35.38,3537,1.3,0.24,2

